+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 18:30:00 | 2019-04-02 19:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 30176 | caagc-46048 |        0.011 |         0.648 |
| 29370 | caagc-46580 |        0.008 |         0.649 |
| 29856 | caagc-46604 |        0.010 |         0.649 |
| 29712 | caagc-46699 |        0.010 |         0.650 |
| 29826 | caagc-46604 |        0.038 |         0.650 |
| 29864 | caagc-46578 |        0.008 |         0.650 |
| 29355 | caagc-46585 |        0.008 |         0.651 |
| 29456 | caagc-49057 |        0.008 |         0.652 |
| 29510 | caagc-50218 |        0.009 |         0.653 |
| 29519 | caagc-46614 |        0.009 |         0.653 |
| 29582 | jira-12869  |        0.009 |         0.656 |
| 29697 | caagc-51395 |        0.008 |         0.656 |
| 30190 | caagc-51501 |        0.058 |         0.656 |
| 29816 | caagc-46626 |        0.034 |         0.657 |
| 30260 | caagc-51538 |        0.007 |         0.657 |
| 29523 | caagc-51120 |        0.009 |         0.658 |
| 30133 | caagc-51481 |        0.013 |         0.658 |
| 29536 | caagc-46577 |        0.009 |         0.659 |
| 29547 | caagc-45785 |        0.008 |         0.659 |
| 29743 | caagc-45689 |        0.009 |         0.659 |
| 29716 | caagc-45621 |        0.009 |         0.660 |
| 29362 | caagc-46475 |        0.007 |         0.661 |
| 29516 | caagc-46758 |        0.009 |         0.661 |
| 29376 | caagc-46594 |        0.008 |         0.662 |
| 29495 | caagc-46622 |        0.008 |         0.662 |
| 29713 | caagc-46782 |        0.009 |         0.662 |
| 29725 | caagc-46101 |        0.009 |         0.664 |
| 29809 | caagc-46603 |        0.016 |         0.664 |
| 30000 | caagc-46585 |        0.011 |         0.664 |
| 29944 | caagc-46584 |        0.012 |         0.665 |
| 29962 | caagc-46624 |        0.010 |         0.665 |
| 29465 | caagc-46592 |        0.009 |         0.666 |
| 29586 | caagc-45629 |        0.009 |         0.666 |
| 30202 | caagc-51488 |        0.043 |         0.666 |
| 29653 | caagc-45979 |        0.010 |         0.667 |
| 30091 | caagc-51485 |        0.010 |         0.667 |
| 29497 | caagc-49837 |        0.008 |         0.668 |
| 29957 | caagc-46593 |        0.009 |         0.668 |
| 30075 | caagc-51491 |        0.036 |         0.668 |
| 30192 | caagc-46068 |        0.014 |         0.669 |
| 30237 | caagc-51530 |        0.008 |         0.670 |
| 30261 | caagc-51542 |        0.010 |         0.670 |
| 29501 | caagc-46475 |        0.009 |         0.671 |
| 30251 | caagc-51552 |        0.011 |         0.671 |
| 29541 | caagc-46598 |        0.015 |         0.672 |
| 29754 | caagc-45684 |        0.009 |         0.672 |
| 29970 | caagc-46617 |        0.009 |         0.672 |
| 30179 | caagc-51487 |        0.040 |         0.672 |
| 30245 | caagc-51547 |        0.008 |         0.674 |
| 29955 | caagc-46612 |        0.010 |         0.676 |
| 29507 | jira-13027  |        0.009 |         0.677 |
| 29645 | caagc-45989 |        0.087 |         0.678 |
| 29728 | caagc-45252 |        0.009 |         0.678 |
| 29745 | caagc-46520 |        0.009 |         0.678 |
| 29836 | caagc-46585 |        0.013 |         0.678 |
| 30059 | caagc-51499 |        0.010 |         0.678 |
| 29346 | caagc-46608 |        0.008 |         0.679 |
| 29371 | caagc-46609 |        0.008 |         0.679 |
| 29563 | caagc-46631 |        0.033 |         0.680 |
| 29919 | caagc-46585 |        0.009 |         0.680 |
| 29450 | caagc-50699 |        0.008 |         0.681 |
| 29518 | caagc-46613 |        0.008 |         0.682 |
| 29650 | caagc-45991 |        0.009 |         0.682 |
| 29838 | caagc-46578 |        0.009 |         0.682 |
| 29394 | caagc-46587 |        0.008 |         0.683 |
| 29521 | jira-12864  |        0.009 |         0.683 |
| 29543 | caagc-46593 |        0.009 |         0.683 |
| 29818 | caagc-46597 |        0.009 |         0.683 |
| 29717 | caagc-45282 |        0.009 |         0.684 |
| 29959 | caagc-46610 |        0.007 |         0.684 |
| 29493 | caagc-46605 |        0.008 |         0.685 |
| 29679 | caagc-46226 |        0.008 |         0.685 |
| 29950 | caagc-46600 |        0.014 |         0.685 |
| 29503 | caagc-46626 |        0.009 |         0.686 |
| 29824 | caagc-46586 |        0.066 |         0.686 |
| 30069 | caagc-51513 |        0.009 |         0.686 |
| 29356 | caagc-46599 |        0.007 |         0.687 |
| 29589 | caagc-45858 |        0.009 |         0.687 |
| 29699 | caagc-45977 |        0.009 |         0.687 |
| 29976 | caagc-46582 |        0.077 |         0.687 |
| 29348 | caagc-46574 |        0.030 |         0.689 |
| 29482 | caagc-46610 |        0.009 |         0.689 |
| 29528 | caagc-46576 |        0.008 |         0.689 |
| 29768 | caagc-46627 |        0.009 |         0.689 |
| 29746 | caagc-45638 |        0.009 |         0.690 |
| 29958 | caagc-46592 |        0.012 |         0.690 |
| 29975 | caagc-46620 |        0.010 |         0.690 |
| 30078 | caagc-51476 |        0.010 |         0.690 |
| 29567 | caagc-46505 |        0.009 |         0.691 |
| 29703 | caagc-45994 |        0.009 |         0.691 |
| 29737 | caagc-46689 |        0.009 |         0.691 |
| 29807 | caagc-46576 |        0.030 |         0.691 |
| 29525 | caagc-51451 |        0.011 |         0.693 |
| 30083 | caagc-51471 |        0.010 |         0.693 |
| 30093 | caagc-51489 |        0.010 |         0.693 |
| 29460 | caagc-46603 |        0.032 |         0.694 |
| 29694 | caagc-46231 |        0.009 |         0.694 |
| 29732 | caagc-45303 |        0.008 |         0.694 |
| 29734 | caagc-46121 |        0.008 |         0.694 |
| 30008 | caagc-46570 |        0.010 |         0.694 |
| 29379 | caagc-46626 |        0.008 |         0.696 |
| 29401 | caagc-46577 |        0.008 |         0.696 |
| 29649 | caagc-46031 |        0.009 |         0.696 |
| 30082 | caagc-51483 |        0.017 |         0.696 |
| 30100 | caagc-46096 |        0.011 |         0.696 |
| 29382 | caagc-46591 |        0.066 |         0.697 |
| 29496 | caagc-46575 |        0.009 |         0.697 |
| 29936 | caagc-46578 |        0.010 |         0.697 |
| 30012 | caagc-46591 |        0.009 |         0.697 |
| 30084 | caagc-51493 |        0.010 |         0.697 |
| 30255 | caagc-51544 |        0.010 |         0.697 |
| 29449 | caagc-46608 |        0.009 |         0.698 |
| 29668 | caagc-45996 |        0.008 |         0.698 |
| 29787 | caagc-46214 |        0.009 |         0.698 |
| 29524 | caagc-46625 |        0.009 |         0.699 |
| 29920 | caagc-46623 |        0.009 |         0.699 |
| 30085 | caagc-51501 |        0.010 |         0.701 |
| 29875 | caagc-46585 |        0.009 |         0.703 |
| 29912 | caagc-46598 |        0.012 |         0.703 |
| 29961 | caagc-46590 |        0.009 |         0.703 |
| 29925 | caagc-46582 |        0.009 |         0.705 |
| 29960 | caagc-46577 |        0.010 |         0.705 |
| 30243 | caagc-51541 |        0.008 |         0.705 |
| 29837 | caagc-46569 |        0.013 |         0.706 |
| 29389 | caagc-46616 |        0.008 |         0.707 |
| 29508 | caagc-46611 |        0.008 |         0.707 |
| 29568 | caagc-46104 |        0.009 |         0.707 |
| 29730 | jira-12861  |        0.009 |         0.707 |
| 29954 | caagc-46571 |        0.009 |         0.707 |
| 29678 | caagc-46229 |        0.009 |         0.709 |
| 29937 | caagc-46615 |        0.010 |         0.709 |
| 29965 | caagc-46609 |        0.010 |         0.709 |
| 29364 | caagc-46624 |        0.008 |         0.710 |
| 29709 | jira-12930  |        0.009 |         0.710 |
| 29520 | caagc-46594 |        0.009 |         0.711 |
| 29538 | caagc-51447 |        0.009 |         0.711 |
| 30064 | caagc-46066 |        0.009 |         0.711 |
| 29463 | caagc-49060 |        0.009 |         0.712 |
| 29475 | caagc-46601 |        0.009 |         0.712 |
| 29642 | caagc-45993 |        0.009 |         0.712 |
| 29665 | caagc-45976 |        0.010 |         0.712 |
| 29388 | caagc-46597 |        0.009 |         0.713 |
| 29473 | caagc-51118 |        0.008 |         0.713 |
| 29974 | caagc-46605 |        0.009 |         0.713 |
| 30089 | caagc-51512 |        0.010 |         0.713 |
| 29448 | caagc-46584 |        0.010 |         0.714 |
| 30167 | caagc-51548 |        0.010 |         0.714 |
