+----------+
| COUNT(*) |
+----------+
|      558 |
+----------+
+--------------------------------------+-------------+---------------+--------+---------------------+---------------------+
| source_object_id                     | xref_id     | source_action | status | last_updated        | reason_str          |
| d7b10ec8-c5d2-4411-bf69-1480fb49f49b | caagc-46428 | INSERT        |      3 | 2019-03-21 15:00:58 | Project is required |
| f1fca1fa-9814-4f1c-bdc5-93d09309f371 | caagc-46424 | INSERT        |      3 | 2019-03-21 14:58:13 | Project is required |
| 5861366e-9dc8-4782-957f-681c75222045 | caagc-46421 | INSERT        |      3 | 2019-03-21 14:56:45 | Project is required |
| 964bcb40-8755-469c-acce-31be9fa4c197 | caagc-46419 | INSERT        |      3 | 2019-03-21 14:53:29 | Project is required |
| d65b3fe2-951f-43d8-9ddb-17e171ecc33a | caagc-46416 | INSERT        |      3 | 2019-03-21 14:51:18 | Project is required |
| c86d3e9d-770a-4c1d-af25-dd8be65b0f5b | caagc-46415 | INSERT        |      3 | 2019-03-21 14:51:00 | Project is required |
| 15e0f537-e0d2-4d77-9cd3-af7cdb289cff | caagc-45873 | INSERT        |      3 | 2019-03-20 18:20:41 | Project is required |
| 26239f83-c70a-4810-87b2-33bfcb610e8d | caagc-45711 | INSERT        |      3 | 2019-03-20 16:41:06 | Project is required |
| 8506206e-4a24-4604-bca0-2186147a23e3 | caagc-45707 | INSERT        |      3 | 2019-03-20 16:39:51 | Project is required |
| 0b5011d8-4e46-4ce2-a60e-a05da7058da3 | caagc-45702 | INSERT        |      3 | 2019-03-20 16:38:49 | Project is required |
| 2a53b929-02a6-42f4-a475-68918f396167 | caagc-45652 | INSERT        |      3 | 2019-03-20 16:15:14 | Project is required |
| 8213f2e2-c919-4fba-9ab9-cccc32573246 | caagc-45569 | INSERT        |      3 | 2019-03-20 14:58:31 | Project is required |
| 8ae9db94-c48f-47e1-bf74-239fac2763d6 | caagc-45568 | INSERT        |      3 | 2019-03-20 14:56:01 | Project is required |
| 86f5bdc1-06e5-45e0-bb07-7a6837c9a29a | caagc-45566 | INSERT        |      3 | 2019-03-20 14:54:12 | Project is required |
| 6532f9f6-be1a-466b-a320-e47c263862db | caagc-45559 | INSERT        |      3 | 2019-03-20 14:52:09 | Project is required |
| c9900d2a-f884-4049-be3d-08844e923829 | caagc-45556 | INSERT        |      3 | 2019-03-20 14:51:13 | Project is required |
| d13d2289-fd56-4d95-a10b-2053db06035b | caagc-45552 | INSERT        |      3 | 2019-03-20 14:50:17 | Project is required |
| b36bd721-7caf-46bd-8af5-37ebbe74616b | caagc-45550 | INSERT        |      3 | 2019-03-20 14:49:26 | Project is required |
| 557db9ce-872d-4932-8dea-e71edbd7df3b | caagc-45548 | INSERT        |      3 | 2019-03-20 14:48:16 | Project is required |
| f058ea9e-3905-4831-a22a-5034ab0dff45 | caagc-44833 | INSERT        |      3 | 2019-03-19 19:05:11 | Project is required |
| aec54b29-f956-4440-af2d-136056f17444 | caagc-44752 | INSERT        |      3 | 2019-03-19 18:40:48 | Project is required |
| 5827d186-4955-47d5-8f87-325cef0aa56a | caagc-44750 | INSERT        |      3 | 2019-03-19 18:39:16 | Project is required |
| 514c5286-16df-46d4-87d3-6d86a3757894 | caagc-44746 | INSERT        |      3 | 2019-03-19 18:33:35 | Project is required |
