+------------------+---------------+--------+------------------------------------------------------+
| source_object_id | source_action | status | reason_str                                           |
| CBC-2158         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1748         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1686         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1729         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1825         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1756         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1799         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2149         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2136         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1688         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1810         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2121         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2117         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2106         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1746         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1783         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1735         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1737         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1814         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1808         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1767         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1740         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2103         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1698         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2087         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1777         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2132         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1824         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1816         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1782         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2155         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2122         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1706         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1712         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1730         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1759         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1687         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1762         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1755         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1743         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1707         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1780         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1831         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1719         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2129         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1761         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1738         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1774         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2107         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1752         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1778         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1768         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1722         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1832         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2110         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1792         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2095         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1723         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1691         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1736         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1818         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2104         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2118         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1731         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2138         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1713         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1703         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1790         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2130         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1697         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2114         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2150         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1773         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2135         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1829         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1815         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2154         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1675         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1726         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2123         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2144         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1776         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2140         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1683         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1785         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2131         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1739         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1694         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1821         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1820         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2156         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1733         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2147         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2125         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1716         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1806         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1758         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1788         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2124         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1800         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2100         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1745         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2127         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1771         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1781         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1725         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1689         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1720         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2088         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1807         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2112         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1764         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1679         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1779         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2143         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2134         | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1770         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1826         | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1685         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1801         | INSERT        |      3 | reason Project CBC93 not found in Agile Central.     |
| CBC-1700         | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
