+-------------------------------------------------------+
| Section                                               |
+-------------------------------------------------------+
| ART/TML --------------------------------------------- |
+-------------------------------------------------------+
+--------------+---------------------+---------------------+
| Proc Version | Timebox Start       | Timebox End         |
+--------------+---------------------+---------------------+
| 1.1a         | 2019-04-02 13:00:00 | 2019-04-02 22:00:00 |
+--------------+---------------------+---------------------+
+-------+-------------+--------------+---------------+
| ident | xref_id     | pending_time | reaction_time |
| 30347 | caagc-51488 |        0.010 |         0.587 |
| 29558 | caagc-46117 |        0.009 |         0.588 |
| 30028 | caagc-46588 |        0.009 |         0.588 |
| 29436 | caagc-45694 |        0.009 |         0.589 |
| 29868 | caagc-46613 |        0.010 |         0.591 |
| 29998 | caagc-46610 |        0.010 |         0.591 |
| 29894 | caagc-46610 |        0.008 |         0.593 |
| 30363 | caagc-46571 |        0.008 |         0.593 |
| 30138 | caagc-51495 |        0.037 |         0.594 |
| 30193 | caagc-51494 |        0.016 |         0.594 |
| 30333 | caagc-51498 |        0.013 |         0.594 |
| 29850 | caagc-46598 |        0.032 |         0.595 |
| 30336 | caagc-51472 |        0.010 |         0.595 |
| 30402 | caagc-46592 |        0.012 |         0.595 |
| 30388 | caagc-46589 |        0.013 |         0.596 |
| 29805 | caagc-46583 |        0.035 |         0.597 |
| 29887 | caagc-46626 |        0.010 |         0.597 |
| 30102 | caagc-51502 |        0.011 |         0.597 |
| 30173 | caagc-51490 |        0.011 |         0.597 |
| 29577 | caagc-45907 |        0.010 |         0.598 |
| 29971 | caagc-46589 |        0.010 |         0.598 |
| 30003 | caagc-46571 |        0.009 |         0.599 |
| 29551 | caagc-45692 |        0.009 |         0.600 |
| 29902 | caagc-46592 |        0.010 |         0.600 |
| 30061 | caagc-51484 |        0.010 |         0.600 |
| 29811 | caagc-46570 |        0.009 |         0.601 |
| 30024 | caagc-46581 |        0.010 |         0.601 |
