+----------+
| COUNT(*) |
+----------+
|      720 |
+----------+
+------------------+------------+---------------+--------+------------------------------------------------------+
| source_object_id | xref_id    | source_action | status | reason_str                                           |
| CBC-2181         | jira-36010 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2157         | jira-36014 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2170         | jira-36018 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2189         | jira-36029 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2205         | jira-36034 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2208         | jira-36062 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2207         | jira-36080 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2194         | jira-36111 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2190         | jira-36148 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2168         | jira-36175 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2183         | jira-36183 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2171         | jira-36208 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2185         | jira-36234 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2196         | jira-36244 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2173         | jira-36284 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2178         | jira-36300 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2166         | jira-36338 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2184         | jira-36390 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2174         | jira-36426 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2180         | jira-36435 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2169         | jira-36459 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2191         | jira-36514 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2200         | jira-36531 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2160         | jira-36543 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2187         | jira-36544 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2164         | jira-36533 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2203         | jira-36574 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2158         | jira-36603 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1748         | jira-36604 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1686         | jira-36607 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1729         | jira-36608 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1825         | jira-36610 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1756         | jira-36614 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1799         | jira-36618 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-2149         | jira-36619 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2136         | jira-36621 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1688         | jira-36623 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1810         | jira-36629 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-2121         | jira-36633 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2117         | jira-36643 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-2106         | jira-36647 | INSERT        |      3 | reason Project CBC98 not found in Agile Central.     |
| CBC-1746         | jira-36651 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1783         | jira-36663 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1735         | jira-36667 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1737         | jira-36669 | INSERT        |      3 | reason Project CBC97 not found in Agile Central.     |
| CBC-1814         | jira-36671 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
| CBC-1808         | jira-36684 | INSERT        |      3 | reason Project CBC91 not found in Agile Central.     |
